salespersonid,concat,year_order,sales,territoryid,name
279,Tsvi Michael Reiter,2011.0,2024.994,5,Southeast
279,Tsvi Michael Reiter,2011.0,6074.982,5,Southeast
279,Tsvi Michael Reiter,2011.0,2024.994,5,Southeast
279,Tsvi Michael Reiter,2011.0,2039.994,5,Southeast
279,Tsvi Michael Reiter,2011.0,2039.994,5,Southeast
279,Tsvi Michael Reiter,2011.0,4079.988,5,Southeast
279,Tsvi Michael Reiter,2011.0,2039.994,5,Southeast
279,Tsvi Michael Reiter,2011.0,86.5212,5,Southeast
279,Tsvi Michael Reiter,2011.0,28.8404,5,Southeast
279,Tsvi Michael Reiter,2011.0,34.2,5,Southeast
279,Tsvi Michael Reiter,2011.0,10.373,5,Southeast
279,Tsvi Michael Reiter,2011.0,80.746,5,Southeast
279,Tsvi Michael Reiter,2011.0,419.4589,5,Southeast
279,Tsvi Michael Reiter,2011.0,874.794,5,Southeast
282,José Edvaldo Saraiva,2011.0,809.76,6,Canada
282,José Edvaldo Saraiva,2011.0,714.7043,6,Canada
282,José Edvaldo Saraiva,2011.0,1429.4086,6,Canada
282,José Edvaldo Saraiva,2011.0,20.746,6,Canada
282,José Edvaldo Saraiva,2011.0,115.3616,6,Canada
282,José Edvaldo Saraiva,2011.0,1445.1898,6,Canada
282,José Edvaldo Saraiva,2011.0,6074.982,6,Canada
282,José Edvaldo Saraiva,2011.0,4049.988,6,Canada
282,José Edvaldo Saraiva,2011.0,40.373,6,Canada
282,José Edvaldo Saraiva,2011.0,1637.4,6,Canada
282,José Edvaldo Saraiva,2011.0,8099.976,6,Canada
282,José Edvaldo Saraiva,2011.0,4079.988,6,Canada
282,José Edvaldo Saraiva,2011.0,57.6808,6,Canada
282,José Edvaldo Saraiva,2011.0,4049.988,6,Canada
282,José Edvaldo Saraiva,2011.0,100.9325,6,Canada
282,José Edvaldo Saraiva,2011.0,1258.3767,6,Canada
282,José Edvaldo Saraiva,2011.0,2097.2945,6,Canada
282,José Edvaldo Saraiva,2011.0,367.8764,6,Canada
282,José Edvaldo Saraiva,2011.0,3499.176,6,Canada
282,José Edvaldo Saraiva,2011.0,551.8146,6,Canada
282,José Edvaldo Saraiva,2011.0,2097.2945,6,Canada
282,José Edvaldo Saraiva,2011.0,1258.3767,6,Canada
282,José Edvaldo Saraiva,2011.0,838.9178,6,Canada
282,José Edvaldo Saraiva,2011.0,2146.962,6,Canada
282,José Edvaldo Saraiva,2011.0,874.794,6,Canada
282,José Edvaldo Saraiva,2011.0,1258.3767,6,Canada
282,José Edvaldo Saraiva,2011.0,356.898,6,Canada
282,José Edvaldo Saraiva,2011.0,5248.764,6,Canada
282,José Edvaldo Saraiva,2011.0,183.9382,6,Canada
282,José Edvaldo Saraiva,2011.0,535.7424,6,Canada
282,José Edvaldo Saraiva,2011.0,2146.962,6,Canada
282,José Edvaldo Saraiva,2011.0,1258.3767,6,Canada
282,José Edvaldo Saraiva,2011.0,183.9382,6,Canada
282,José Edvaldo Saraiva,2011.0,356.898,6,Canada
282,José Edvaldo Saraiva,2011.0,178.5808,6,Canada
282,José Edvaldo Saraiva,2011.0,1258.3767,6,Canada
282,José Edvaldo Saraiva,2011.0,874.794,6,Canada
276,Linda C Mitchell,2011.0,419.4589,4,Southwest
280,Pamela O Ansman-Wolfe,2011.0,2039.994,1,Northwest
280,Pamela O Ansman-Wolfe,2011.0,8099.976,1,Northwest
280,Pamela O Ansman-Wolfe,2011.0,28.8404,1,Northwest
280,Pamela O Ansman-Wolfe,2011.0,28.8404,1,Northwest
280,Pamela O Ansman-Wolfe,2011.0,4049.988,1,Northwest
280,Pamela O Ansman-Wolfe,2011.0,6119.982,1,Northwest
280,Pamela O Ansman-Wolfe,2011.0,2039.994,1,Northwest
280,Pamela O Ansman-Wolfe,2011.0,2024.994,1,Northwest
283,David R Campbell,2011.0,40.373,1,Northwest
283,David R Campbell,2011.0,2039.994,1,Northwest
283,David R Campbell,2011.0,20.1865,1,Northwest
